Section;MSIC Code;Description;ISIC CODE
S;95230;Repair of footwear and leather goods;9523
S;95240;Repair of furniture and home furnishings;9524
S;95291;Repair of bicycles;9529
S;95292;Repair and alteration of clothing;9529
S;95293;Repair and alteration of jewellery;9529
S;95294;Repair of watches, clocks and their parts;9529
S;95295;Repair of sporting goods;9529
S;95296;Repair of musical instruments;9529
S;95299;Repair of other personal and household goods n.e.c.;9529
S;96011;Laundering and dry-cleaning, pressing;9601
S;96012;Carpet and rug shampooing, and drapery and curtain cleaning, whether on clients' premises or not;9601
S;96013;Provision of linens, work uniforms and related items by laundries;9601
S;96014;Diaper supply services;9601
S;96020;Hairdressing and other beauty treatment;9602
S;96031;Preparing the dead for burial or cremation and embalming and morticians' services;9603
S;96032;Providing burial or cremation services;9603
S;96033;Rental of equipped space in funeral parlours;9603
S;96034;Rental or sale of graves;9603
S;96035;Maintenance of graves an d mausoleums;9603
S;96091;Activities of sauna, steam baths, massage salons;9609
S;96092;Astrological and spiritualists' activities;9609
S;96093;Social activities such as escort services, dating services, services of marriage bureaux;9609
S;96094;Pet care services;9609
S;96095;Genealogical organizations;9609
S;96096;Shoe shiners, porters, valet car parkers;9609
S;96097;Concession operation of coin-operated personal service machines;9609
S;96099;Other service activities n.e.c.;9609
T;97000;Activities of households as employers of domestic personnel;9700
T;98100;Undifferentiated goods-producing activities of private households for own use;9810
T;98200;Undifferentiated service-producing activities of private households for own use;9820
U;99000;Activities of extraterritorial organization and bodies;9900
